,pokedex_number,name,type1,type2,generation,hp,attack,defense,sp_attack,sp_defense,speed,base_egg_steps,base_happiness,capture_rate,classification,experience_growth,height_m,percentage_male,weight_kg,is_legendary,percentage_female,ability_0,ability_1,ability_2,ability_3,ability_4,ability_5
152,153,Bayleef,grass,none,2,60,62,80,63,80,60,5120,70,45,Leaf Pokémon,1059860,1.2,88.1,15.8,0,11.900000000000006,Overgrow,Leaf Guard,,,,
153,154,Meganium,grass,none,2,80,82,100,83,100,80,5120,70,45,Herb Pokémon,1059860,1.8,88.1,100.5,0,11.900000000000006,Overgrow,Leaf Guard,,,,
154,155,Cyndaquil,fire,none,2,39,52,43,60,50,65,5120,70,45,Fire Mouse Pokémon,1059860,0.5,88.1,7.9,0,11.900000000000006,Blaze,Flash Fire,,,,
155,156,Quilava,fire,none,2,58,64,58,80,65,80,5120,70,45,Volcano Pokémon,1059860,0.9,88.1,19.0,0,11.900000000000006,Blaze,Flash Fire,,,,
156,157,Typhlosion,fire,none,2,78,84,78,109,85,100,5120,70,45,Volcano Pokémon,1059860,1.7,88.1,79.5,0,11.900000000000006,Blaze,Flash Fire,,,,
157,158,Totodile,water,none,2,50,65,64,44,48,43,5120,70,45,Big Jaw Pokémon,1059860,0.6,88.1,9.5,0,11.900000000000006,Torrent,Sheer Force,,,,
158,159,Croconaw,water,none,2,65,80,80,59,63,58,5120,70,45,Big Jaw Pokémon,1059860,1.1,88.1,25.0,0,11.900000000000006,Torrent,Sheer Force,,,,
159,160,Feraligatr,water,none,2,85,105,100,79,83,78,5120,70,45,Big Jaw Pokémon,1059860,2.3,88.1,88.8,0,11.900000000000006,Torrent,Sheer Force,,,,
160,161,Sentret,normal,none,2,35,46,34,35,45,20,3840,70,255,Scout Pokémon,1000000,0.8,50.0,6.0,0,50.0,Run Away,Keen Eye,Frisk,,,
161,162,Furret,normal,none,2,85,76,64,45,55,90,3840,70,90,Long Body Pokémon,1000000,1.8,50.0,32.5,0,50.0,Run Away,Keen Eye,Frisk,,,
162,163,Hoothoot,normal,flying,2,60,30,30,36,56,50,3840,70,255,Owl Pokémon,1000000,0.7,50.0,21.2,0,50.0,Insomnia,Keen Eye,Tinted Lens,,,
163,164,Noctowl,normal,flying,2,100,50,50,86,96,70,3840,70,90,Owl Pokémon,1000000,1.6,50.0,40.8,0,50.0,Insomnia,Keen Eye,Tinted Lens,,,
164,165,Ledyba,bug,flying,2,40,20,30,40,80,55,3840,70,255,Five Star Pokémon,800000,1.0,50.0,10.8,0,50.0,Swarm,Early Bird,Rattled,,,
165,166,Ledian,bug,flying,2,55,35,50,55,110,85,3840,70,90,Five Star Pokémon,800000,1.4,50.0,35.6,0,50.0,Swarm,Early Bird,Iron Fist,,,
166,167,Spinarak,bug,poison,2,40,60,40,40,40,30,3840,70,255,String Spit Pokémon,800000,0.5,50.0,8.5,0,50.0,Swarm,Insomnia,Sniper,,,
167,168,Ariados,bug,poison,2,70,90,70,60,70,40,3840,70,90,Long Leg Pokémon,800000,1.1,50.0,33.5,0,50.0,Swarm,Insomnia,Sniper,,,
168,169,Crobat,poison,flying,2,85,90,80,70,80,130,3840,70,90,Bat Pokémon,1000000,1.8,50.0,75.0,0,50.0,Inner Focus,Infiltrator,,,,
169,170,Chinchou,water,electric,2,75,38,38,56,56,67,5120,70,190,Angler Pokémon,1250000,0.5,50.0,12.0,0,50.0,Volt Absorb,Illuminate,Water Absorb,,,
170,171,Lanturn,water,electric,2,125,58,58,76,76,67,5120,70,75,Light Pokémon,1250000,1.2,50.0,22.5,0,50.0,Volt Absorb,Illuminate,Water Absorb,,,
171,172,Pichu,electric,none,2,20,40,15,35,35,60,2560,70,190,Tiny Mouse Pokémon,1000000,0.3,50.0,2.0,0,50.0,Static,Lightningrod,,,,
172,173,Cleffa,fairy,none,2,50,25,28,45,55,15,2560,140,150,Star Shape Pokémon,800000,0.3,24.6,3.0,0,75.4,Cute Charm,Magic Guard,Friend Guard,,,
173,174,Igglybuff,normal,fairy,2,90,30,15,40,20,15,2560,70,170,Balloon Pokémon,800000,0.3,24.6,1.0,0,75.4,Cute Charm,Competitive,Friend Guard,,,
174,175,Togepi,fairy,none,2,35,20,65,40,65,20,2560,70,190,Spike Ball Pokémon,800000,0.3,88.1,1.5,0,11.900000000000006,Hustle,Serene Grace,Super Luck,,,
175,176,Togetic,fairy,flying,2,55,40,85,80,105,40,2560,70,75,Happiness Pokémon,800000,0.6,88.1,3.2,0,11.900000000000006,Hustle,Serene Grace,Super Luck,,,
176,177,Natu,psychic,flying,2,40,50,45,70,45,70,5120,70,190,Little Bird Pokémon,1000000,0.2,50.0,2.0,0,50.0,Synchronize,Early Bird,Magic Bounce,,,
177,178,Xatu,psychic,flying,2,65,75,70,95,70,95,5120,70,75,Mystic Pokémon,1000000,1.5,50.0,15.0,0,50.0,Synchronize,Early Bird,Magic Bounce,,,
178,179,Mareep,electric,none,2,55,40,40,65,45,35,5120,70,235,Wool Pokémon,1059860,0.6,50.0,7.8,0,50.0,Static,Plus,,,,
179,180,Flaaffy,electric,none,2,70,55,55,80,60,45,5120,70,120,Wool Pokémon,1059860,0.8,50.0,13.3,0,50.0,Static,Plus,,,,
180,181,Ampharos,electric,none,2,90,95,105,165,110,45,5120,70,45,Light Pokémon,1059860,1.4,50.0,61.5,0,50.0,Static,Plus,,,,
181,182,Bellossom,grass,none,2,75,80,95,90,100,50,5120,70,45,Flower Pokémon,1059860,0.4,50.0,5.8,0,50.0,Chlorophyll,Healer,,,,
182,183,Marill,water,fairy,2,70,20,50,20,50,40,2560,70,190,Aquamouse Pokémon,800000,0.4,50.0,8.5,0,50.0,Thick Fat,Huge Power,Sap Sipper,,,
183,184,Azumarill,water,fairy,2,100,50,80,60,80,50,2560,70,75,Aquarabbit Pokémon,800000,0.8,50.0,28.5,0,50.0,Thick Fat,Huge Power,Sap Sipper,,,
184,185,Sudowoodo,rock,none,2,70,100,115,30,65,30,5120,70,65,Imitation Pokémon,1000000,1.2,50.0,38.0,0,50.0,Sturdy,Rock Head,Rattled,,,
185,186,Politoed,water,none,2,90,75,75,90,100,70,5120,70,45,Frog Pokémon,1059860,1.1,50.0,33.9,0,50.0,Water Absorb,Damp,Drizzle,,,
186,187,Hoppip,grass,flying,2,35,35,40,35,55,50,5120,70,255,Cottonweed Pokémon,1059860,0.4,50.0,0.5,0,50.0,Chlorophyll,Leaf Guard,Infiltrator,,,
187,188,Skiploom,grass,flying,2,55,45,50,45,65,80,5120,70,120,Cottonweed Pokémon,1059860,0.6,50.0,1.0,0,50.0,Chlorophyll,Leaf Guard,Infiltrator,,,
188,189,Jumpluff,grass,flying,2,75,55,70,55,95,110,5120,70,45,Cottonweed Pokémon,1059860,0.8,50.0,3.0,0,50.0,Chlorophyll,Leaf Guard,Infiltrator,,,
189,190,Aipom,normal,none,2,55,70,55,40,55,85,5120,70,45,Long Tail Pokémon,800000,0.8,50.0,11.5,0,50.0,Run Away,Pickup,Skill Link,,,
190,191,Sunkern,grass,none,2,30,30,30,30,30,30,5120,70,235,Seed Pokémon,1059860,0.3,50.0,1.8,0,50.0,Chlorophyll,Solar Power,Early Bird,,,
191,192,Sunflora,grass,none,2,75,75,55,105,85,30,5120,70,120,Sun Pokémon,1059860,0.8,50.0,8.5,0,50.0,Chlorophyll,Solar Power,Early Bird,,,
192,193,Yanma,bug,flying,2,65,65,45,75,45,95,5120,70,75,Clear Wing Pokémon,1000000,1.2,50.0,38.0,0,50.0,Speed Boost,Compoundeyes,Frisk,,,
193,194,Wooper,water,ground,2,55,45,45,25,25,15,5120,70,255,Water Fish Pokémon,1000000,0.4,50.0,8.5,0,50.0,Damp,Water Absorb,Unaware,,,
194,195,Quagsire,water,ground,2,95,85,85,65,65,35,5120,70,90,Water Fish Pokémon,1000000,1.4,50.0,75.0,0,50.0,Damp,Water Absorb,Unaware,,,
195,196,Espeon,psychic,none,2,65,65,60,130,95,110,8960,70,45,Sun Pokémon,1000000,0.9,88.1,26.5,0,11.900000000000006,Synchronize,Magic Bounce,,,,
196,197,Umbreon,dark,none,2,95,65,110,60,130,65,8960,35,45,Moonlight Pokémon,1000000,1.0,88.1,27.0,0,11.900000000000006,Synchronize,Inner Focus,,,,
197,198,Murkrow,dark,flying,2,60,85,42,85,42,91,5120,35,30,Darkness Pokémon,1059860,0.5,50.0,2.1,0,50.0,Insomnia,Super Luck,Prankster,,,
198,199,Slowking,water,psychic,2,95,75,80,100,110,30,5120,70,70,Royal Pokémon,1000000,2.0,50.0,79.5,0,50.0,Oblivious,Own Tempo,Regenerator,,,
199,200,Misdreavus,ghost,none,2,60,60,60,85,85,85,6400,35,45,Screech Pokémon,800000,0.7,50.0,1.0,0,50.0,Levitate,,,,,
200,201,Unown,psychic,none,2,48,72,48,72,48,48,10240,70,225,Symbol Pokémon,1000000,0.5,0.0,5.0,0,0.0,Levitate,,,,,
201,202,Wobbuffet,psychic,none,2,190,33,58,33,58,33,5120,70,45,Patient Pokémon,1000000,1.3,50.0,28.5,0,50.0,Shadow Tag,Telepathy,,,,
202,203,Girafarig,normal,psychic,2,70,80,65,90,65,85,5120,70,60,Long Neck Pokémon,1000000,1.5,50.0,41.5,0,50.0,Inner Focus,Early Bird,Sap Sipper,,,
203,204,Pineco,bug,none,2,50,65,90,35,35,15,5120,70,190,Bagworm Pokémon,1000000,0.6,50.0,7.2,0,50.0,Sturdy,Overcoat,,,,
204,205,Forretress,bug,steel,2,75,90,140,60,60,40,5120,70,75,Bagworm Pokémon,1000000,1.2,50.0,125.8,0,50.0,Sturdy,Overcoat,,,,
205,206,Dunsparce,normal,none,2,100,70,70,65,65,45,5120,70,190,Land Snake Pokémon,1000000,1.5,50.0,14.0,0,50.0,Serene Grace,Run Away,Rattled,,,
206,207,Gligar,ground,flying,2,65,75,105,35,65,85,5120,70,60,Flyscorpion Pokémon,1059860,1.1,50.0,64.8,0,50.0,Hyper Cutter,Sand Veil,Immunity,,,
207,208,Steelix,steel,ground,2,75,125,230,55,95,30,6400,70,25,Iron Snake Pokémon,1000000,9.2,50.0,400.0,0,50.0,Rock Head,Sturdy,Sheer Force,,,
208,209,Snubbull,fairy,none,2,60,80,50,40,40,30,5120,70,190,Fairy Pokémon,800000,0.6,24.6,7.8,0,75.4,Intimidate,Run Away,Rattled,,,
209,210,Granbull,fairy,none,2,90,120,75,60,60,45,5120,70,75,Fairy Pokémon,800000,1.4,24.6,48.7,0,75.4,Intimidate,Quick Feet,Rattled,,,
210,211,Qwilfish,water,poison,2,65,95,85,55,55,85,5120,70,45,Balloon Pokémon,1000000,0.5,50.0,3.9,0,50.0,Poison Point,Swift Swim,Intimidate,,,
211,212,Scizor,bug,steel,2,70,150,140,65,100,75,6400,70,25,Pincer Pokémon,1000000,1.8,50.0,118.0,0,50.0,Swarm,Technician,Light Metal,,,
212,213,Shuckle,bug,rock,2,20,10,230,10,230,5,5120,70,190,Mold Pokémon,1059860,0.6,50.0,20.5,0,50.0,Sturdy,Gluttony,Contrary,,,
213,214,Heracross,bug,fighting,2,80,185,115,40,105,75,6400,70,45,Singlehorn Pokémon,1250000,1.5,50.0,54.0,0,50.0,Swarm,Guts,Moxie,,,
214,215,Sneasel,dark,ice,2,55,95,55,35,75,115,5120,35,60,Sharp Claw Pokémon,1059860,0.9,50.0,28.0,0,50.0,Inner Focus,Keen Eye,Pickpocket,,,
215,216,Teddiursa,normal,none,2,60,80,50,50,50,40,5120,70,120,Little Bear Pokémon,1000000,0.6,50.0,8.8,0,50.0,Pickup,Quick Feet,Honey Gather,,,
216,217,Ursaring,normal,none,2,90,130,75,75,75,55,5120,70,60,Hibernator Pokémon,1000000,1.8,50.0,125.8,0,50.0,Guts,Quick Feet,Unnerve,,,
217,218,Slugma,fire,none,2,40,40,40,70,40,20,5120,70,190,Lava Pokémon,1000000,0.7,50.0,35.0,0,50.0,Magma Armor,Flame Body,Weak Armor,,,
218,219,Magcargo,fire,rock,2,60,50,120,90,80,30,5120,70,75,Lava Pokémon,1000000,0.8,50.0,55.0,0,50.0,Magma Armor,Flame Body,Weak Armor,,,
219,220,Swinub,ice,ground,2,50,50,40,30,30,50,5120,70,225,Pig Pokémon,1250000,0.4,50.0,6.5,0,50.0,Oblivious,Snow Cloak,Thick Fat,,,
220,221,Piloswine,ice,ground,2,100,100,80,60,60,50,5120,70,75,Swine Pokémon,1250000,1.1,50.0,55.8,0,50.0,Oblivious,Snow Cloak,Thick Fat,,,
221,222,Corsola,water,rock,2,65,55,95,65,95,35,5120,70,60,Coral Pokémon,800000,0.6,24.6,5.0,0,75.4,Hustle,Natural Cure,Regenerator,,,
222,223,Remoraid,water,none,2,35,65,35,65,35,65,5120,70,190,Jet Pokémon,1000000,0.6,50.0,12.0,0,50.0,Hustle,Sniper,Moody,,,
223,224,Octillery,water,none,2,75,105,75,105,75,45,5120,70,75,Jet Pokémon,1000000,0.9,50.0,28.5,0,50.0,Suction Cups,Sniper,Moody,,,
224,225,Delibird,ice,flying,2,45,55,45,65,45,75,5120,70,45,Delivery Pokémon,800000,0.9,50.0,16.0,0,50.0,Vital Spirit,Hustle,Insomnia,,,
225,226,Mantine,water,flying,2,85,40,70,80,140,70,6400,70,25,Kite Pokémon,1250000,2.1,50.0,220.0,0,50.0,Swift Swim,Water Absorb,Water Veil,,,
226,227,Skarmory,steel,flying,2,65,80,140,40,70,70,6400,70,25,Armor Bird Pokémon,1250000,1.7,50.0,50.5,0,50.0,Keen Eye,Sturdy,Weak Armor,,,
227,228,Houndour,dark,fire,2,45,60,30,80,50,65,5120,35,120,Dark Pokémon,1250000,0.6,50.0,10.8,0,50.0,Early Bird,Flash Fire,Unnerve,,,
228,229,Houndoom,dark,fire,2,75,90,90,140,90,115,5120,35,45,Dark Pokémon,1250000,1.4,50.0,35.0,0,50.0,Early Bird,Flash Fire,Unnerve,,,
229,230,Kingdra,water,dragon,2,75,95,95,95,95,85,5120,70,45,Dragon Pokémon,1000000,1.8,50.0,152.0,0,50.0,Swift Swim,Sniper,Damp,,,
230,231,Phanpy,ground,none,2,90,60,60,40,40,40,5120,70,120,Long Nose Pokémon,1000000,0.5,50.0,33.5,0,50.0,Pickup,Sand Veil,,,,
231,232,Donphan,ground,none,2,90,120,120,60,60,50,5120,70,60,Armor Pokémon,1000000,1.1,50.0,120.0,0,50.0,Sturdy,Sand Veil,,,,
232,233,Porygon2,normal,none,2,85,80,90,105,95,60,5120,70,45,Virtual Pokémon,1000000,0.6,0.0,32.5,0,0.0,Trace,Download,Analytic,,,
233,234,Stantler,normal,none,2,73,95,62,85,65,85,5120,70,45,Big Horn Pokémon,1250000,1.4,50.0,71.2,0,50.0,Intimidate,Frisk,Sap Sipper,,,
234,235,Smeargle,normal,none,2,55,20,35,20,45,75,5120,70,45,Painter Pokémon,800000,1.2,50.0,58.0,0,50.0,Own Tempo,Technician,Moody,,,
235,236,Tyrogue,fighting,none,2,35,35,35,35,35,35,6400,70,75,Scuffle Pokémon,1000000,0.7,100.0,21.0,0,0.0,Guts,Steadfast,Vital Spirit,,,
236,237,Hitmontop,fighting,none,2,50,95,95,35,110,70,6400,70,45,Handstand Pokémon,1000000,1.4,100.0,48.0,0,0.0,Intimidate,Technician,Steadfast,,,
237,238,Smoochum,ice,psychic,2,45,30,15,85,65,65,6400,70,45,Kiss Pokémon,1000000,0.4,0.0,6.0,0,100.0,Oblivious,Forewarn,Hydration,,,
238,239,Elekid,electric,none,2,45,63,37,65,55,95,6400,70,45,Electric Pokémon,1000000,0.6,75.4,23.5,0,24.599999999999994,Static,Vital Spirit,,,,
239,240,Magby,fire,none,2,45,75,37,70,55,83,6400,70,45,Live Coal Pokémon,1000000,0.7,75.4,21.4,0,24.599999999999994,Flame Body,Vital Spirit,,,,
240,241,Miltank,normal,none,2,95,80,105,40,70,100,5120,70,45,Milk Cow Pokémon,1250000,1.2,0.0,75.5,0,100.0,Thick Fat,Scrappy,Sap Sipper,,,
241,242,Blissey,normal,none,2,255,10,10,75,135,55,10240,140,30,Happiness Pokémon,800000,1.5,0.0,46.8,0,100.0,Natural Cure,Serene Grace,Healer,,,
242,243,Raikou,electric,none,2,90,85,75,115,100,115,20480,35,3,Thunder Pokémon,1250000,1.9,0.0,178.0,1,0.0,Pressure,Inner Focus,,,,
243,244,Entei,fire,none,2,115,115,85,90,75,100,20480,35,3,Volcano Pokémon,1250000,2.1,0.0,198.0,1,0.0,Pressure,Inner Focus,,,,
244,245,Suicune,water,none,2,100,75,115,90,115,85,20480,35,3,Aurora Pokémon,1250000,2.0,0.0,187.0,1,0.0,Pressure,Inner Focus,,,,
245,246,Larvitar,rock,ground,2,50,64,50,45,50,41,10240,35,45,Rock Skin Pokémon,1250000,0.6,50.0,72.0,0,50.0,Guts,Sand Veil,,,,
246,247,Pupitar,rock,ground,2,70,84,70,65,70,51,10240,35,45,Hard Shell Pokémon,1250000,1.2,50.0,152.0,0,50.0,Shed Skin,,,,,
247,248,Tyranitar,rock,dark,2,100,164,150,95,120,71,10240,35,45,Armor Pokémon,1250000,2.0,50.0,202.0,0,50.0,Sand Stream,Unnerve,,,,
248,249,Lugia,psychic,flying,2,106,90,130,90,154,110,30720,0,3,Diving Pokémon,1250000,5.2,0.0,216.0,1,0.0,Pressure,Multiscale,,,,
249,250,Ho-Oh,fire,flying,2,106,130,90,110,154,90,30720,0,3,Rainbow Pokémon,1250000,3.8,0.0,199.0,1,0.0,Pressure,Regenerator,,,,
250,251,Celebi,psychic,grass,2,100,100,100,100,100,100,30720,100,45,Time Travel Pokémon,1059860,0.6,0.0,5.0,1,0.0,Natural Cure,,,,,
251,252,Treecko,grass,none,3,40,45,35,65,55,70,5120,70,45,Wood Gecko Pokémon,1059860,0.5,88.1,5.0,0,11.900000000000006,Overgrow,Unburden,,,,
252,253,Grovyle,grass,none,3,50,65,45,85,65,95,5120,70,45,Wood Gecko Pokémon,1059860,0.9,88.1,21.6,0,11.900000000000006,Overgrow,Unburden,,,,
253,254,Sceptile,grass,none,3,70,110,75,145,85,145,5120,70,45,Forest Pokémon,1059860,1.7,88.1,52.2,0,11.900000000000006,Overgrow,Unburden,,,,
254,255,Torchic,fire,none,3,45,60,40,70,50,45,5120,70,45,Chick Pokémon,1059860,0.4,88.1,2.5,0,11.900000000000006,Blaze,Speed Boost,,,,
255,256,Combusken,fire,fighting,3,60,85,60,85,60,55,5120,70,45,Young Fowl Pokémon,1059860,0.9,88.1,19.5,0,11.900000000000006,Blaze,Speed Boost,,,,
256,257,Blaziken,fire,fighting,3,80,160,80,130,80,100,5120,70,45,Blaze Pokémon,1059860,1.9,88.1,52.0,0,11.900000000000006,Blaze,Speed Boost,,,,
257,258,Mudkip,water,none,3,50,70,50,50,50,40,5120,70,45,Mud Fish Pokémon,1059860,0.4,88.1,7.6,0,11.900000000000006,Torrent,Damp,,,,
258,259,Marshtomp,water,ground,3,70,85,70,60,70,50,5120,70,45,Mud Fish Pokémon,1059860,0.7,88.1,28.0,0,11.900000000000006,Torrent,Damp,,,,
259,260,Swampert,water,ground,3,100,150,110,95,110,70,5120,70,45,Mud Fish Pokémon,1059860,1.5,88.1,81.9,0,11.900000000000006,Torrent,Damp,,,,
260,261,Poochyena,dark,none,3,35,55,35,30,30,35,3840,70,255,Bite Pokémon,1000000,0.5,50.0,13.6,0,50.0,Run Away,Quick Feet,Rattled,,,
261,262,Mightyena,dark,none,3,70,90,70,60,60,70,3840,70,127,Bite Pokémon,1000000,1.0,50.0,37.0,0,50.0,Intimidate,Quick Feet,Moxie,,,
262,263,Zigzagoon,normal,none,3,38,30,41,30,41,60,3840,70,255,Tiny Racoon Pokémon,1000000,0.4,50.0,17.5,0,50.0,Pickup,Gluttony,Quick Feet,,,
263,264,Linoone,normal,none,3,78,70,61,50,61,100,3840,70,90,Rush Pokémon,1000000,0.5,50.0,32.5,0,50.0,Pickup,Gluttony,Quick Feet,,,
264,265,Wurmple,bug,none,3,45,45,35,20,30,20,3840,70,255,Worm Pokémon,1000000,0.3,50.0,3.6,0,50.0,Shield Dust,Run Away,,,,
265,266,Silcoon,bug,none,3,50,35,55,25,25,15,3840,70,120,Cocoon Pokémon,1000000,0.6,50.0,10.0,0,50.0,Shed Skin,,,,,
266,267,Beautifly,bug,flying,3,60,70,50,100,50,65,3840,70,45,Butterfly Pokémon,1000000,1.0,50.0,28.4,0,50.0,Swarm,Rivalry,,,,
267,268,Cascoon,bug,none,3,50,35,55,25,25,15,3840,70,120,Cocoon Pokémon,1000000,0.7,50.0,11.5,0,50.0,Shed Skin,,,,,
268,269,Dustox,bug,poison,3,60,50,70,50,90,65,3840,70,45,Poison Moth Pokémon,1000000,1.2,50.0,31.6,0,50.0,Shield Dust,Compoundeyes,,,,
269,270,Lotad,water,grass,3,40,30,30,40,50,30,3840,70,255,Water Weed Pokémon,1059860,0.5,50.0,2.6,0,50.0,Swift Swim,Rain Dish,Own Tempo,,,
270,271,Lombre,water,grass,3,60,50,50,60,70,50,3840,70,120,Jolly Pokémon,1059860,1.2,50.0,32.5,0,50.0,Swift Swim,Rain Dish,Own Tempo,,,
271,272,Ludicolo,water,grass,3,80,70,70,90,100,70,3840,70,45,Carefree Pokémon,1059860,1.5,50.0,55.0,0,50.0,Swift Swim,Rain Dish,Own Tempo,,,
272,273,Seedot,grass,none,3,40,40,50,30,30,30,3840,70,255,Acorn Pokémon,1059860,0.5,50.0,4.0,0,50.0,Chlorophyll,Early Bird,Pickpocket,,,
273,274,Nuzleaf,grass,dark,3,70,70,40,60,40,60,3840,70,120,Wily Pokémon,1059860,1.0,50.0,28.0,0,50.0,Chlorophyll,Early Bird,Pickpocket,,,
274,275,Shiftry,grass,dark,3,90,100,60,90,60,80,3840,70,45,Wickid Pokémon,1059860,1.3,50.0,59.6,0,50.0,Chlorophyll,Early Bird,Pickpocket,,,
275,276,Taillow,normal,flying,3,40,55,30,30,30,85,3840,70,200,TinySwallow Pokémon,1059860,0.3,50.0,2.3,0,50.0,Guts,Scrappy,,,,
276,277,Swellow,normal,flying,3,60,85,60,75,50,125,3840,70,45,Swallow Pokémon,1059860,0.7,50.0,19.8,0,50.0,Guts,Scrappy,,,,
277,278,Wingull,water,flying,3,40,30,30,55,30,85,5120,70,190,Seagull Pokémon,1000000,0.6,50.0,9.5,0,50.0,Keen Eye,Hydration,Rain Dish,,,
278,279,Pelipper,water,flying,3,60,50,100,95,70,65,5120,70,45,Water Bird Pokémon,1000000,1.2,50.0,28.0,0,50.0,Keen Eye,Drizzle,Rain Dish,,,
279,280,Ralts,psychic,fairy,3,28,25,25,45,35,40,5120,35,235,Feeling Pokémon,1250000,0.4,50.0,6.6,0,50.0,Synchronize,Trace,Telepathy,,,
280,281,Kirlia,psychic,fairy,3,38,35,35,65,55,50,5120,35,120,Emotion Pokémon,1250000,0.8,50.0,20.2,0,50.0,Synchronize,Trace,Telepathy,,,
281,282,Gardevoir,psychic,fairy,3,68,85,65,165,135,100,5120,35,45,Embrace Pokémon,1250000,1.6,50.0,48.4,0,50.0,Synchronize,Trace,Telepathy,,,
282,283,Surskit,bug,water,3,40,30,32,50,52,65,3840,70,200,Pond Skater Pokémon,1000000,0.5,50.0,1.7,0,50.0,Swift Swim,Rain Dish,,,,
283,284,Masquerain,bug,flying,3,70,60,62,100,82,80,3840,70,75,Eyeball Pokémon,1000000,0.8,50.0,3.6,0,50.0,Intimidate,Unnerve,,,,
284,285,Shroomish,grass,none,3,60,40,60,40,60,35,3840,70,255,Mushroom Pokémon,1640000,0.4,50.0,4.5,0,50.0,Effect Spore,Poison Heal,Quick Feet,,,
285,286,Breloom,grass,fighting,3,60,130,80,60,60,70,3840,70,90,Mushroom Pokémon,1640000,1.2,50.0,39.2,0,50.0,Effect Spore,Poison Heal,Technician,,,
286,287,Slakoth,normal,none,3,60,60,60,35,35,30,3840,70,255,Slacker Pokémon,1250000,0.8,50.0,24.0,0,50.0,Truant,,,,,
287,288,Vigoroth,normal,none,3,80,80,80,55,55,90,3840,70,120,Wild Monkey Pokémon,1250000,1.4,50.0,46.5,0,50.0,Vital Spirit,,,,,
288,289,Slaking,normal,none,3,150,160,100,95,65,100,3840,70,45,Lazy Pokémon,1250000,2.0,50.0,130.5,0,50.0,Truant,,,,,
289,290,Nincada,bug,ground,3,31,45,90,30,30,40,3840,70,255,Trainee Pokémon,600000,0.5,50.0,5.5,0,50.0,Compoundeyes,Run Away,,,,
290,291,Ninjask,bug,flying,3,61,90,45,50,50,160,3840,70,120,Ninja Pokémon,600000,0.8,50.0,12.0,0,50.0,Speed Boost,Infiltrator,,,,
291,292,Shedinja,bug,ghost,3,1,90,45,30,30,40,3840,70,45,Shed Pokémon,600000,0.8,0.0,1.2,0,0.0,Wonder Guard,,,,,
292,293,Whismur,normal,none,3,64,51,23,51,23,28,5120,70,190,Whisper Pokémon,1059860,0.6,50.0,16.3,0,50.0,Soundproof,Rattled,,,,
293,294,Loudred,normal,none,3,84,71,43,71,43,48,5120,70,120,Big Voice Pokémon,1059860,1.0,50.0,40.5,0,50.0,Soundproof,Scrappy,,,,
294,295,Exploud,normal,none,3,104,91,63,91,73,68,5120,70,45,Loud Noise Pokémon,1059860,1.5,50.0,84.0,0,50.0,Soundproof,Scrappy,,,,
295,296,Makuhita,fighting,none,3,72,60,30,20,30,25,5120,70,180,Guts Pokémon,1640000,1.0,75.4,86.4,0,24.599999999999994,Thick Fat,Guts,Sheer Force,,,
296,297,Hariyama,fighting,none,3,144,120,60,40,60,50,5120,70,200,Arm Thrust Pokémon,1640000,2.3,75.4,253.8,0,24.599999999999994,Thick Fat,Guts,Sheer Force,,,
297,298,Azurill,normal,fairy,3,50,20,40,20,40,20,2560,70,150,Polka Dot Pokémon,800000,0.2,24.6,2.0,0,75.4,Thick Fat,Huge Power,Sap Sipper,,,
298,299,Nosepass,rock,none,3,30,45,135,45,90,30,5120,70,255,Compass Pokémon,1000000,1.0,50.0,97.0,0,50.0,Sturdy,Magnet Pull,Sand Force,,,
299,300,Skitty,normal,none,3,50,45,45,35,35,50,3840,70,255,Kitten Pokémon,800000,0.6,24.6,11.0,0,75.4,Cute Charm,Normalize,Wonder Skin ,,,
300,301,Delcatty,normal,none,3,70,65,65,55,55,90,3840,70,60,Prim Pokémon,800000,1.1,24.6,32.6,0,75.4,Cute Charm,Normalize,Wonder Skin ,,,
301,302,Sableye,dark,ghost,3,50,85,125,85,115,20,6400,35,45,Darkness Pokémon,1059860,0.5,50.0,11.0,0,50.0,Keen Eye,Stall,Prankster,,,
302,303,Mawile,steel,fairy,3,50,105,125,55,95,50,5120,70,45,Deceiver Pokémon,800000,0.6,50.0,11.5,0,50.0,Hyper Cutter,Intimidate,Sheer Force,,,
303,304,Aron,steel,rock,3,50,70,100,40,40,30,8960,35,180,Iron Armor Pokémon,1250000,0.4,50.0,60.0,0,50.0,Sturdy,Rock Head,Heavy Metal,,,
304,305,Lairon,steel,rock,3,60,90,140,50,50,40,8960,35,90,Iron Armor Pokémon,1250000,0.9,50.0,120.0,0,50.0,Sturdy,Rock Head,Heavy Metal,,,
305,306,Aggron,steel,rock,3,70,140,230,60,80,50,8960,35,45,Iron Armor Pokémon,1250000,2.1,50.0,360.0,0,50.0,Sturdy,Rock Head,Heavy Metal,,,
306,307,Meditite,fighting,psychic,3,30,40,55,40,55,60,5120,70,180,Meditate Pokémon,1000000,0.6,50.0,11.2,0,50.0,Pure Power,Telepathy,,,,
307,308,Medicham,fighting,psychic,3,60,100,85,80,85,100,5120,70,90,Meditate Pokémon,1000000,1.3,50.0,31.5,0,50.0,Pure Power,Telepathy,,,,
308,309,Electrike,electric,none,3,40,45,40,65,40,65,5120,70,120,Lightning Pokémon,1250000,0.6,50.0,15.2,0,50.0,Static,Lightningrod,Minus,,,
